ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
hs1233	chr6:98504034-98506058	MIR2113-POU3F2	chr6:98056158-98058182	chr4:23517189-23519186	Pou3f2-Mms22l	chr4:23590042-23592039
hs1106	chr6:98572398-98573780	MIR2113-POU3F2	chr6:98124522-98125904	chr4:23431544-23432890	Pou3f2-Mms22l	chr4:23504397-23505743
hs284	chr6:98719759-98720510	MIR2113-POU3F2	chr6:98271883-98272634	chr4:23268167-23268903	Pou3f2-Mms22l	chr4:23341020-23341756
hs288	chr6:98813608-98814940	MIR2113-POU3F2	chr6:98365732-98367064	chr4:23100132-23101467	Pou3f2-Mms22l	chr4:23172985-23174320
hs1128	chr6:98829860-98831049	MIR2113-POU3F2	chr6:98381984-98383173	chr4:23074825-23075982	Pou3f2-Mms22l	chr4:23147678-23148835
hs1159	chr6:98831075-98833042	MIR2113-POU3F2	chr6:98383199-98385166	chr4:23072691-23074799	Pou3f2-Mms22l	chr4:23145544-23147652
hs1081	chr6:98902034-98904516	MIR2113-POU3F2	chr6:98454158-98456640	chr4:22976280-22979033	Pou3f2-Mms22l	chr4:23049133-23051886
hs290	chr6:98995483-98996450	MIR2113-POU3F2	chr6:98547607-98548574	chr4:22873378-22874319	Pou3f2-Mms22l	chr4:22946231-22947172
hs1014	chr6:99005894-99007499	MIR2113-POU3F2	chr6:98558018-98559623	chr4:22854281-22855860	Pou3f2-Mms22l	chr4:22927134-22928713
hs1085	chr6:99089361-99091043	MIR2113-POU3F2	chr6:98641485-98643167	chr4:22762230-22763904	Pou3f2-Mms22l	chr4:22835083-22836757
hs530	chr6:99424724-99426847	FBXL4-FAXC	chr6:98976848-98978971	chr4:22227979-22230177	6230409E13Rik-Fbxl4	chr4:22300832-22303030
mm1626	chr7:101033628-101039233	COL26A1(intragenic)	chr7:101390347-101395952	chr5:137336940-137340805	Emid2(intragenic)	chr5:136861070-136864935
mm391	chr7:102481344-102482868	FBXL13(intragenic)	chr7:102840897-102842421	chr5:21001718-21003173	Fbxl13(intragenic)	chr5:21495900-21497355
mm1463	chr7:102931570-102933480	DPY19L2P2-PMPCB	chr7:103291123-103293033	chr5:21237397-21240250	Napepld-Pmpcb	chr5:21731579-21734432
hs793	chr7:10684318-10685359	PER4-NDUFA4	chr7:10644691-10645732	chr6:11484744-11485814	AA545190-Ndufa4	chr6:11534744-11535814
hs2081	chr7:107587162-107588892	LAMB1(intragenic)	chr7:107946717-107948447	chr12:31994828-31996342	Lamb1(intragenic)	chr12:31309963-31311477
mm16	chr7:108014639-108017249	NRCAM(intragenic)	chr7:108374195-108376805	chr12:45503506-45506757	Nrcam(intragenic)	chr12:44402519-44405770
hs1401	chr7:108014729-108017176	NRCAM(intragenic)	chr7:108374285-108376732	chr12:45503779-45506577	Nrcam(intragenic)	chr12:44402792-44405590
hs1876	chr7:113558123-113559105	PPP1R3A-FOXP2	chr7:113918068-113919050	chr6:14704338-14705302	Ppp1r3a-Foxp2	chr6:14754338-14755302
hs720	chr7:113793545-113794562	FOXP2(intragenic)	chr7:114153490-114154507	chr6:14930242-14931244	Foxp2(intragenic)	chr6:14980242-14981244
hs1069	chr7:114052100-114053403	FOXP2(intragenic)	chr7:114412045-114413348	chr6:15132427-15133744	Foxp2(intragenic)	chr6:15182427-15183744
hs1167	chr7:114055419-114056748	FOXP2(intragenic)	chr7:114415364-114416693	chr6:15135821-15137224	Foxp2(intragenic)	chr6:15185821-15187224
hs218	chr7:114056847-114058647	FOXP2(intragenic)	chr7:114416792-114418592	chr6:15137323-15139118	Foxp2(intragenic)	chr6:15187323-15189118
hs219	chr7:114062615-114063919	FOXP2(intragenic)	chr7:114422560-114423864	chr6:15142947-15144270	Foxp2(intragenic)	chr6:15192947-15194270
hs220	chr7:114070779-114073266	FOXP2(intragenic)	chr7:114430724-114433211	chr6:15151156-15153663	Foxp2(intragenic)	chr6:15201156-15203663
hs999	chr7:114142132-114143527	FOXP2(intragenic)	chr7:114502077-114503472	chr6:15207106-15208522	Foxp2(intragenic)	chr6:15257106-15258522
hs221	chr7:114208952-114210310	FOXP2(intragenic)	chr7:114568897-114570255	chr6:15272791-15274149	Foxp2(intragenic)	chr6:15322791-15324149
hs1080	chr7:114261073-114263089	FOXP2(intragenic)	chr7:114621018-114623034	chr6:15318271-15320231	Foxp2(intragenic)	chr6:15368271-15370231
hs954	chr7:114287987-114290557	FOXP2(intragenic)	chr7:114647932-114650502	chr6:15349348-15351975	Foxp2(intragenic)	chr6:15399348-15401975
hs1215	chr7:114292900-114293972	FOXP2(intragenic)	chr7:114652845-114653917	chr6:15354452-15355550	Foxp2(intragenic)	chr6:15404452-15405550
hs222	chr7:114295109-114296373	MIR3666-MDFIC	chr7:114655054-114656318	chr6:15356720-15357971	Foxp2(intragenic)	chr6:15406720-15407971
hs956	chr7:114299711-114302078	MIR3666-MDFIC	chr7:114659656-114662023	chr6:15361326-15363759	Foxp2(intragenic)	chr6:15411326-15413759
hs966	chr7:114326912-114329772	MIR3666-MDFIC	chr7:114686857-114689717	chr6:15385024-15387812	Foxp2(intragenic)	chr6:15435024-15437812
hs785	chr7:114381553-114382837	MIR3666-MDFIC	chr7:114741498-114742782	chr6:15436410-15437741	Foxp2-Mdfic	chr6:15486410-15487741
hs792	chr7:114395170-114396591	MIR3666-MDFIC	chr7:114755115-114756536	chr6:15450356-15451750	Foxp2-Mdfic	chr6:15500356-15501750
hs1192	chr7:114463797-114464462	MIR3666-MDFIC	chr7:114823742-114824407	chr6:15560145-15560753	Foxp2-Mdfic	chr6:15610145-15610753
hs684	chr7:115113551-115114543	MDFIC-TFEC	chr7:115473497-115474489	chr6:16263991-16264976	Mdfic-Tfec	chr6:16313991-16314976
hs299	chr7:115115427-115117325	MDFIC-TFEC	chr7:115475373-115477271	chr6:16265852-16267823	Mdfic-Tfec	chr6:16315852-16317823
hs300	chr7:115133829-115135428	MDFIC-TFEC	chr7:115493775-115495374	chr6:16282591-16284210	Mdfic-Tfec	chr6:16332591-16334210
hs861	chr7:115262750-115264769	MDFIC-TFEC	chr7:115622696-115624715	chr6:16432618-16434681	Mdfic-Tfec	chr6:16482618-16484681
hs738	chr7:115295267-115296597	MDFIC-TFEC	chr7:115655213-115656543	chr6:16480409-16481733	Mdfic-Tfec	chr6:16530409-16531733
hs190	chr7:115313238-115315056	MDFIC-TFEC	chr7:115673184-115675002	chr6:16497563-16499382	Mdfic-Tfec	chr6:16547563-16549382
hs1798	chr7:115451531-115454796	MDFIC-TFEC	chr7:115811477-115814742	chr6:16675956-16679599	Mdfic-Tfec	chr6:16725956-16729599
hs301	chr7:115582121-115582622	TFEC(intragenic)	chr7:115942067-115942568	chr6:16785376-16785875	Tfec(intragenic)	chr6:16835376-16835875
hs2071	chr7:115993663-115997109	TES-CAV2	chr7:116353609-116357055	chr6:17118699-17124875	Tes-Cav2	chr6:17168699-17174875
hs1988	chr7:120536767-120540791	TSPAN12-ING3	chr7:120896713-120900737	chr6:21828055-21830750	Tspan12-Ing3	chr6:21878055-21880750
hs1809	chr7:121967528-121971078	CADPS2(intragenic)	chr7:122327474-122331024	chr6:23221299-23225344	Cadps2(intragenic)	chr6:23271299-23275344
hs293	chr7:1265154-1266318	LOC101927021-UNCX	chr7:1225518-1226682	chr5:140012199-140013382	4930500L23Rik(intragenic)	chr5:139536245-139537428
hs173	chr7:1267832-1269169	LOC101927021-UNCX	chr7:1228196-1229533	chr5:140014726-140016138	4930500L23Rik(intragenic)	chr5:139538772-139540184
hs1308	chr7:127174386-127177546	LOC100506682-GCC1	chr7:127534332-127537492	chr6:28345025-28348247	Zfp800-Gcc1	chr6:28395025-28398247
hs2387	chr7:130012949-130014460	CPA5-CPA1	chr7:130373108-130374619	chr6:30585908-30587352	Cpa5-Cpa1	chr6:30635908-30637352
mm1056	chr7:13404715-13412050	ARL4A-ETV1	chr7:13365090-13372425	chr12:40121545-40124971	Etv1-Arl4a	chr12:39394958-39398384
hs749	chr7:13450920-13451719	ARL4A-ETV1	chr7:13411295-13412094	chr12:40068376-40069166	Etv1-Arl4a	chr12:39341789-39342579
mm1671	chr7:134585350-134587541	CALD1(intragenic)	chr7:134900599-134902790	chr6:34666215-34668175	Cald1(intragenic)	chr6:34716215-34718175
hs550	chr7:13506207-13507276	ARL4A-ETV1	chr7:13466582-13467651	chr12:40027691-40028748	Etv1-Arl4a	chr12:39301104-39302161
hs1508	chr7:135456908-135459236	FAM180A-LUZP6	chr7:135772160-135774488	chr6:35303329-35305339	1700065J11Rik-Mtpn	chr6:35353329-35355339
hs2077	chr7:135742628-135745716	MTPN-CHRM2	chr7:136057880-136060968	chr6:35581495-35587015	Mtpn-9330158H04Rik	chr6:35631495-35637015
hs2082	chr7:139910588-139914247	JHDM1D-AS1-SLC37A3	chr7:140210788-140214447	chr6:39189567-39193497	Jhdm1d-Slc37a3	chr6:39239568-39243498
mm1321	chr7:140325431-140329891	DENND2A-ADCK2	chr7:140625631-140630091	chr6:39491754-39496348	Dennd2a(intragenic)	chr6:39541755-39546349
hs816	chr7:14379627-14380740	DGKB(intragenic)	chr7:14340002-14341115	chr12:39162121-39163231	Dgkb(intragenic)	chr12:38435534-38436644
hs2258	chr7:147972273-147975381	MIR548T(intragenic)	chr7:148275181-148278289			
hs2192	chr7:150659986-150663432	KCNH2(intragenic)	chr7:150962898-150966344	chr5:23841543-23845074	Kcnh2(intragenic)	chr5:24335725-24339256
hs1908	chr7:150665549-150670065	KCNH2(intragenic)	chr7:150968461-150972977	chr5:23847456-23851873	Kcnh2(intragenic)	chr5:24341638-24346055
mm1191	chr7:150832783-150834470	AGAP3(intragenic)	chr7:151135696-151137383	chr5:24000311-24001818	Agap3(intragenic)	chr5:24494493-24496000
mm394	chr7:151106899-151108508	WDR86-AS1(intragenic)	chr7:151409813-151411422	chr5:24236372-24237661	Wdr86-Crygn	chr5:24730554-24731843
hs2193	chr7:151383342-151387674	PRKAG2-PRKAG2-AS1	chr7:151686256-151690588	chr5:24463656-24467586	4933426D04Rik-2900005J15Rik	chr5:24957838-24961768
hs2194	chr7:151389885-151395078	PRKAG2-PRKAG2-AS1	chr7:151692799-151697992	chr5:24468712-24471757	4933426D04Rik-2900005J15Rik	chr5:24962894-24965939
hs2196	chr7:151408696-151411333	PRKAG2-PRKAG2-AS1	chr7:151711610-151714247	chr5:24479007-24481597	4933426D04Rik-2900005J15Rik	chr5:24973189-24975779
hs2198	chr7:151439778-151443512	PRKAG2-PRKAG2-AS1	chr7:151742692-151746426	chr5:24505072-24509325	4933426D04Rik-2900005J15Rik	chr5:24999254-25003507
hs2199	chr7:151450033-151453713	PRKAG2-PRKAG2-AS1	chr7:151752947-151756627	chr5:24511422-24514159	4933426D04Rik-2900005J15Rik	chr5:25005604-25008341
hs2200	chr7:151453949-151457105	PRKAG2-PRKAG2-AS1	chr7:151756863-151760019	chr5:24514413-24517795	4933426D04Rik-2900005J15Rik	chr5:25008595-25011977
hs1418	chr7:155264047-155265809	EN2-CNPY1	chr7:155471352-155473114	chr5:28505463-28506962	En2-Cnpy1	chr5:28178923-28180422
hs1268	chr7:155547616-155548788	RBM33(intragenic)	chr7:155754922-155756094	chr5:28730295-28731422	Rbm33(intragenic)	chr5:28403755-28404882
mm1189	chr7:156583781-156584569	LMBR1(intragenic)	chr7:156791087-156791875	chr5:29641421-29642207	Lmbr1(intragenic)	chr5:29314881-29315667
hs2496	chr7:156583782-156584569	LMBR1(intragenic)	chr7:156791088-156791875	chr5:29641422-29642207	Lmbr1(intragenic)	chr5:29314882-29315667
hs1753	chr7:158888320-158891362	VIPR2(intragenic)	chr7:159095629-159098671	chr12:117336953-117338545	Vipr2(intragenic)	chr12:116098480-116100072
hs1740	chr7:16043133-16045391	LOC101927524-ISPD	chr7:16003508-16005766	chr12:37519663-37521886	Ispd-Meox2	chr12:36793076-36795299
hs2306	chr7:18868716-18870405	HDAC9-TWIST1	chr7:18829093-18830782	chr12:34904535-34906180	Twist1-Hdac9	chr12:34219670-34221315
hs2307	chr7:18874272-18875369	HDAC9-TWIST1	chr7:18834649-18835746	chr12:34900126-34901227	Twist1-Hdac9	chr12:34215261-34216362
hs644	chr7:18885971-18887230	HDAC9-TWIST1	chr7:18846348-18847607	chr12:34884495-34885741	Twist1-Hdac9	chr12:34199630-34200876
hs1880	chr7:19146921-19150251	HDAC9-TWIST1	chr7:19107298-19110628	chr12:34649331-34652669	Twist1-Hdac9	chr12:33964466-33967804
hs2261	chr7:19150461-19154049	HDAC9-TWIST1	chr7:19110838-19114426	chr12:34645617-34649121	Twist1-Hdac9	chr12:33960752-33964256
hs1878	chr7:19157694-19159713	TWIST1-FERD3L	chr7:19118071-19120090	chr12:34640138-34642085	Ferd3l-Twist1	chr12:33955273-33957220
hs239	chr7:20829390-20830407	SP8-RPL23P8	chr7:20789771-20790788	chr12:120081935-120083029	D230030E09Rik-Sp8	chr12:118843462-118844556
hs844	chr7:20832628-20833902	SP8-RPL23P8	chr7:20793009-20794283	chr12:120078517-120079917	D230030E09Rik-Sp8	chr12:118840044-118841444
hs1019	chr7:20838843-20840395	SP8-RPL23P8	chr7:20799224-20800776	chr12:120072953-120074549	D230030E09Rik-Sp8	chr12:118834480-118836076
hs1007	chr7:20997668-20999102	RPL23P8-SP4	chr7:20958049-20959483	chr12:119963922-119965376	D230030E09Rik-Sp8	chr12:118725449-118726903
hs110	chr7:21003280-21004750	RPL23P8-SP4	chr7:20963661-20965131	chr12:119958141-119959608	D230030E09Rik-Sp8	chr12:118719668-118721135
hs1148	chr7:21019551-21021200	RPL23P8-SP4	chr7:20979932-20981581	chr12:119941220-119942766	D230030E09Rik-Sp8	chr12:118702747-118704293
hs1226	chr7:21080801-21082086	RPL23P8-SP4	chr7:21041182-21042467	chr12:119888961-119890205	D230030E09Rik-Sp8	chr12:118650488-118651732
hs701	chr7:21084342-21085460	RPL23P8-SP4	chr7:21044723-21045841	chr12:119885720-119886834	D230030E09Rik-Sp8	chr12:118647247-118648361
hs1223	chr7:21239775-21240922	RPL23P8-SP4	chr7:21200156-21201303	chr12:119738466-119739538	Sp4-D230030E09Rik	chr12:118499993-118501065
hs294	chr7:21811370-21812002	DNAH11(intragenic)	chr7:21771752-21772384	chr12:119227603-119228162	Dnahc11(intragenic)	chr12:117989130-117989689
hs807	chr7:22091362-22092557	CDCA7L-RAPGEF5	chr7:22051744-22052939	chr12:119044146-119045319	Rapgef5-Cdca7l	chr12:117805673-117806846
mm1383	chr7:24892097-24894578	OSBPL3(intragenic)	chr7:24852478-24854959	chr6:50286189-50288925	Osbpl3(intragenic)	chr6:50336190-50338926
mm1318	chr7:24912345-24917099	OSBPL3(intragenic)	chr7:24872726-24877480	chr6:50304038-50307302	Osbpl3(intragenic)	chr6:50354039-50357303
mm401	chr7:25433609-25434686	NPVF-RNU6-16P	chr7:25393990-25395067	chr6:50760699-50761820	C530044C16Rik(intragenic)	chr6:50810700-50811821
mm402	chr7:25447351-25449985	NPVF-RNU6-16P	chr7:25407732-25410366	chr6:50771118-50773588	C530044C16Rik-Mir148a	chr6:50821119-50823589
hs1677	chr7:25533607-25536880	NPVF-RNU6-16P	chr7:25493988-25497261	chr6:50839577-50842587	C530044C16Rik-Mir148a	chr6:50889578-50892588
mm403	chr7:25589443-25591311	NPVF-RNU6-16P	chr7:25549823-25551691	chr6:50874547-50876236	C530044C16Rik-Mir148a	chr6:50924548-50926237
mm404	chr7:25634685-25636381	NPVF-RNU6-16P	chr7:25595065-25596761	chr6:50906955-50908237	C530044C16Rik-Mir148a	chr6:50956956-50958238
mm405	chr7:25668386-25670239	NPVF-RNU6-16P	chr7:25628766-25630619	chr6:50931070-50932329	C530044C16Rik-Mir148a	chr6:50981071-50982330
mm406	chr7:25672535-25673378	NPVF-RNU6-16P	chr7:25632915-25633758	chr6:50933966-50934809	C530044C16Rik-Mir148a	chr6:50983967-50984810
hs1600	chr7:25695037-25697616	NPVF-RNU6-16P	chr7:25655417-25657996	chr6:50951487-50954104	C530044C16Rik-Mir148a	chr6:51001488-51004105
mm1066	chr7:25698552-25701381	NPVF-RNU6-16P	chr7:25658932-25661761	chr6:50955004-50958667	C530044C16Rik-Mir148a	chr6:51005005-51008668
mm407	chr7:25757431-25758861	NPVF-RNU6-16P	chr7:25717811-25719241	chr6:51001771-51003272	C530044C16Rik-Mir148a	chr6:51051772-51053273
hs1325	chr7:25791903-25794282	NPVF-RNU6-16P	chr7:25752283-25754662	chr6:51026185-51028597	C530044C16Rik-Mir148a	chr6:51076186-51078598
mm408	chr7:25826942-25827954	NPVF-RNU6-16P	chr7:25787322-25788334	chr6:51054234-51055194	C530044C16Rik-Mir148a	chr6:51104235-51105195
mm1019	chr7:25892732-25897500	RNU6-16P-MIR148A	chr7:25853112-25857880	chr6:51119198-51123798	C530044C16Rik-Mir148a	chr6:51169199-51173799
mm409	chr7:25896209-25897202	RNU6-16P-MIR148A	chr7:25856589-25857582	chr6:51122426-51123472	C530044C16Rik-Mir148a	chr6:51172427-51173473
hs1465	chr7:25919000-25922541	RNU6-16P-MIR148A	chr7:25879380-25882921	chr6:51144711-51148222	C530044C16Rik-Mir148a	chr6:51194712-51198223
mm410	chr7:26053851-26057654	MIR148A-NFE2L3	chr7:26014231-26018034	chr6:51283773-51284475	Mir148a-Nfe2l3	chr6:51333774-51334476
mm411	chr7:26100543-26101462	MIR148A-NFE2L3	chr7:26060923-26061842	chr6:51311842-51312695	Mir148a-Nfe2l3	chr6:51361843-51362696
hs1947	chr7:2651286-2654820	IQCE-TTYH3	chr7:2611652-2615186	chr5:141137266-141140107	Ttyh3-Baat1	chr5:140661312-140664153
hs769	chr7:26524662-26525636	LOC441204(intragenic)	chr7:26485042-26486016	chr6:51658575-51659542	Snx10-Skap2	chr6:51708576-51709543
mm412	chr7:26706500-26708024	C7orf71-HOXA1	chr7:26666881-26668405	chr6:51807234-51808613	Snx10-Skap2	chr6:51857235-51858614
hs296	chr7:26728697-26729802	SKAP2(intragenic)	chr7:26689078-26690183	chr6:51828611-51829693	Skap2(intragenic)	chr6:51878612-51879694
hs1703	chr7:27156051-27156664	HOXA3(intragenic)	chr7:27116432-27117045	chr6:52128168-52128776	Hoxa3(intragenic)	chr6:52178169-52178777
mm1743	chr7:27233962-27234336	HOXA11-AS-HOXA13	chr7:27194343-27194717	chr6:52204789-52205362	Hoxa11as-Hoxa13	chr6:52254790-52255363
hs501	chr7:27249858-27251057	HOTTIP-EVX1	chr7:27210239-27211438	chr6:52220427-52221609	Hoxa13-5730457N03Rik	chr6:52270433-52271615
hs629	chr7:27288268-27289491	EVX1-HIBADH	chr7:27248649-27249872	chr6:52269076-52270281	Evx1-1700094M24Rik	chr6:52319082-52320287
mm1524	chr7:27337871-27340908	EVX1-HIBADH	chr7:27298252-27301289	chr6:52315158-52318218	Evx1-1700094M24Rik	chr6:52365164-52368224
mm48	chr7:27415250-27418200	EVX1-HIBADH	chr7:27375631-27378581	chr6:52392611-52394523	Evx1-1700094M24Rik	chr6:52442617-52444529
mm1550	chr7:2798663-2803246	GNA12(intragenic)	chr7:2759029-2763612	chr5:141243002-141245006	Gna12(intragenic)	chr5:140767048-140769052
hs1430	chr7:28114903-28117771	JAZF1(intragenic)	chr7:28075284-28078152	chr6:52917020-52919645	Jazf1(intragenic)	chr6:52967026-52969651
hs1604	chr7:28630662-28634883	CREB5(intragenic)	chr7:28591044-28595265	chr6:53418293-53422374	9430076C15Rik-Creb5	chr6:53468299-53472380
mm1638	chr7:28778187-28779655	CREB5(intragenic)	chr7:28738570-28740038	chr6:53573765-53575077	Creb5(intragenic)	chr6:53623771-53625083
hs2636	chr7:30710965-30712332	CRHR2(intragenic)	chr7:30671349-30672716	chr6:55058285-55059092	Crhr2(intragenic)	chr6:55108291-55109098
hs297	chr7:31401914-31403016	NEUROD6-CCDC129	chr7:31362300-31363402	chr6:55653693-55654791	Gm3279-Ccdc129	chr6:55703699-55704797
mm1296	chr7:33745882-33747578	BBS9-BMPER	chr7:33706270-33707966	chr9:22815322-22817199	Bbs9-Bmper	chr9:23010878-23012755
mm1696	chr7:33814140-33815917	BBS9-BMPER	chr7:33774528-33776305	chr9:22887576-22889154	Bbs9-Bmper	chr9:23083132-23084710
hs1336	chr7:34097962-34100011	BMPER(intragenic)	chr7:34058350-34060399	chr9:23182371-23184296	Bmper(intragenic)	chr9:23377927-23379852
hs470	chr7:35236863-35237925	DPY19L2P1-TBX20	chr7:35197251-35198313	chr9:24524934-24526039	Cypt10-Tbx20	chr9:24720490-24721595
hs471	chr7:35254518-35255251	TBX20(intragenic)	chr7:35214906-35215639	chr9:24541529-24542245	Tbx20(intragenic)	chr9:24737085-24737801
hs466	chr7:35268514-35269380	TBX20(intragenic)	chr7:35228902-35229768	chr9:24552688-24553552	Tbx20(intragenic)	chr9:24748244-24749108
hs467	chr7:35275271-35276121	TBX20(intragenic)	chr7:35235659-35236509	chr9:24558958-24559803	Tbx20(intragenic)	chr9:24754514-24755359
hs2284	chr7:35288122-35290125	TBX20(intragenic)	chr7:35248510-35250513	chr9:24573938-24575673	Tbx20(intragenic)	chr9:24769494-24771229
hs464	chr7:35320121-35321085	TBX20-LOC401324	chr7:35280510-35281474	chr9:24593446-24594337	Tbx20-Herpud2	chr9:24789002-24789893
hs468	chr7:35331175-35332120	TBX20-LOC401324	chr7:35291564-35292509	chr9:24606959-24607888	Tbx20-Herpud2	chr9:24802515-24803444
hs473	chr7:35342478-35343110	TBX20-LOC401324	chr7:35302867-35303499	chr9:24615996-24616598	Tbx20-Herpud2	chr9:24811552-24812154
hs469	chr7:35359004-35359854	LOC401324(intragenic)	chr7:35319394-35320244	chr9:24638003-24638795	Tbx20-Herpud2	chr9:24833559-24834351
hs474	chr7:35388314-35389035	LOC401324(intragenic)	chr7:35348704-35349425	chr9:24665060-24665760	Tbx20-Herpud2	chr9:24860616-24861316
mm130	chr7:35412691-35416477	LOC401324-HERPUD2	chr7:35373081-35376867	chr9:24691516-24694512	Tbx20-Herpud2	chr9:24887072-24890068
hs1659	chr7:35412725-35416349	LOC401324-HERPUD2	chr7:35373115-35376739	chr9:24691549-24694480	Tbx20-Herpud2	chr9:24887105-24890036
hs2286	chr7:35424312-35427325	LOC401324-HERPUD2	chr7:35384702-35387715	chr9:24700924-24704277	Tbx20-Herpud2	chr9:24896480-24899833
hs461	chr7:35454800-35456218	LOC401324-HERPUD2	chr7:35415190-35416608	chr9:24724193-24725561	Tbx20-Herpud2	chr9:24919749-24921117
hs472	chr7:35458551-35459522	LOC401324-HERPUD2	chr7:35418941-35419912	chr9:24726610-24727560	Tbx20-Herpud2	chr9:24922166-24923116
hs463	chr7:35505184-35506342	LOC401324-HERPUD2	chr7:35465574-35466732	chr9:24778361-24779483	Tbx20-Herpud2	chr9:24973917-24975039
hs465	chr7:35590614-35591629	LOC401324-HERPUD2	chr7:35551004-35552019	chr9:24859812-24860833	Tbx20-Herpud2	chr9:25055368-25056389
mm653	chr7:41744391-41746280	INHBA-AS1(intragenic)	chr7:41704793-41706682	chr13:16102853-16104685	A530046M15-Inhba	chr13:16011020-16012852
mm2035	chr7:41969145-41971254	INHBA-AS1-GLI3	chr7:41929547-41931656	chr13:15868206-15872815	Gli3-4933412O06Rik	chr13:15776373-15780982
mm2034	chr7:41970780-41975804	INHBA-AS1-GLI3	chr7:41931182-41936206	chr13:15863055-15868977	Gli3-4933412O06Rik	chr13:15771222-15777144
mm2033	chr7:41975487-41977931	INHBA-AS1-GLI3	chr7:41935889-41938333	chr13:15858225-15863372	Gli3-4933412O06Rik	chr13:15766392-15771539
mm1941	chr7:41977831-41980948	INHBA-AS1-GLI3	chr7:41938233-41941350	chr13:15854113-15858531	Gli3-4933412O06Rik	chr13:15762280-15766698
mm1940	chr7:41983007-41988485	INHBA-AS1-GLI3	chr7:41943409-41948887	chr13:15846055-15850966	Gli3-4933412O06Rik	chr13:15754222-15759133
mm1939	chr7:41988384-41992513	INHBA-AS1-GLI3	chr7:41948786-41952915	chr13:15841944-15846479	Gli3-4933412O06Rik	chr13:15750111-15754646
mm1981	chr7:41990886-41993490	INHBA-AS1-GLI3	chr7:41951288-41953892	chr13:15837359-15842364	Gli3-4933412O06Rik	chr13:15745526-15750531
mm2032	chr7:41993491-41997441	INHBA-AS1-GLI3	chr7:41953893-41957843	chr13:15832313-15837380	Gli3-4933412O06Rik	chr13:15740480-15745547
mm2031	chr7:41996338-41999799	INHBA-AS1-GLI3	chr7:41956740-41960201	chr13:15827875-15833232	Gli3-4933412O06Rik	chr13:15736042-15741399
mm2030	chr7:41999729-42000153	INHBA-AS1-GLI3	chr7:41960131-41960555	chr13:15823111-15828877	Gli3-4933412O06Rik	chr13:15731278-15737044
mm1938	chr7:41999903-42002625	INHBA-AS1-LOC101928795	chr7:41960305-41963027	chr13:15819852-15824660	Gli3-4933412O06Rik	chr13:15728019-15732827
mm2029	chr7:42002211-42007142	GLI3(intragenic)	chr7:41962613-41967544	chr13:15815652-15820225	Gli3(intragenic)	chr13:15723819-15728392
mm1937	chr7:42006653-42012164	GLI3(intragenic)	chr7:41967055-41972565	chr13:15811950-15816054	Gli3(intragenic)	chr13:15720117-15724221
mm1936	chr7:42011988-42016269	GLI3(intragenic)	chr7:41972389-41976670	chr13:15807717-15812126	Gli3(intragenic)	chr13:15715884-15720293
mm1935	chr7:42015355-42019782	GLI3(intragenic)	chr7:41975756-41980183	chr13:15803575-15808506	Gli3(intragenic)	chr13:15711742-15716673
mm2028	chr7:42019668-42024935	GLI3(intragenic)	chr7:41980069-41985336	chr13:15798801-15803681	Gli3(intragenic)	chr13:15706968-15711848
mm1933	chr7:42030560-42035668	GLI3(intragenic)	chr7:41990961-41996069	chr13:15789208-15794355	Gli3(intragenic)	chr13:15697375-15702522
mm2027	chr7:42035355-42039879	GLI3(intragenic)	chr7:41995756-42000280	chr13:15785008-15790038	Gli3(intragenic)	chr13:15693175-15698205
mm1932	chr7:42039814-42040902	GLI3(intragenic)	chr7:42000215-42001303	chr13:15780342-15785164	Gli3(intragenic)	chr13:15688509-15693331
mm2026	chr7:42040897-42043227	GLI3(intragenic)	chr7:42001298-42003628	chr13:15774557-15780443	Gli3(intragenic)	chr13:15682724-15688610
mm2025	chr7:42042919-42045217	GLI3(intragenic)	chr7:42003320-42005618	chr13:15770441-15775577	Gli3(intragenic)	chr13:15678608-15683744
mm1931	chr7:42045176-42049766	GLI3(intragenic)	chr7:42005577-42010167	chr13:15766019-15770660	Gli3(intragenic)	chr13:15674186-15678827
mm652	chr7:42059578-42060803	GLI3(intragenic)	chr7:42019979-42021204	chr13:15756187-15757138	Gli3(intragenic)	chr13:15664354-15665305
mm2024	chr7:42061000-42066899	GLI3(intragenic)	chr7:42021401-42027300	chr13:15750904-15755992	Gli3(intragenic)	chr13:15659071-15664159
mm1929	chr7:42066720-42073499	GLI3(intragenic)	chr7:42027121-42033900	chr13:15746298-15751079	Gli3(intragenic)	chr13:15654465-15659246
mm1928	chr7:42072956-42078512	GLI3(intragenic)	chr7:42033357-42038913	chr13:15741647-15746840	Gli3(intragenic)	chr13:15649814-15655007
mm2023	chr7:42078460-42084096	GLI3(intragenic)	chr7:42038861-42044497	chr13:15736806-15742150	Gli3(intragenic)	chr13:15644973-15650317
mm1927	chr7:42083756-42089025	GLI3(intragenic)	chr7:42044157-42049426	chr13:15732059-15737264	Gli3(intragenic)	chr13:15640226-15645431
mm1926	chr7:42088148-42093412	GLI3(intragenic)	chr7:42048549-42053813	chr13:15727734-15733049	Gli3(intragenic)	chr13:15635901-15641216
mm1925	chr7:42092839-42100280	GLI3(intragenic)	chr7:42053240-42060681	chr13:15723285-15728287	Gli3(intragenic)	chr13:15631452-15636454
